city;venue_name;venue_id;rating;likes_cnt;Activity rate;Employment (jobs) in agriculture, fishery (NACE Rev. 2, A);"Employment (jobs) in arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies (NACE Rev. 2, R to U)";Employment (jobs) in construction (NACE Rev. 2, F);Employment (jobs) in financial and insurance activities (NACE Rev. 2, K);Employment (jobs) in information and communication (NACE Rev. 2, J);Employment (jobs) in mining, manufacturing, energy (NACE Rev. 2, B-E);"Employment (jobs) in professional, scientific and technical activities; administrative and support service activities (NACE Rev. 2, M and N)";Employment (jobs) in public administration, defence, education, human health and social work activities (NACE Rev. 2, O to Q);Employment (jobs) in real estate activities (NACE Rev. 2, L);Employment (jobs) in trade, transport, hotels, restaurants (NACE Rev. 2, G to I);Nationals as a proportion of population;Population on the 1st of January, total;Proportion of employment in industries (NACE Rev.1.1 C-E);Proportion of population aged 0-4 years;Proportion of population aged 10-14 years;Proportion of population aged 15-19 years;Proportion of population aged 20-24 years;Proportion of population aged 25-34 years;Proportion of population aged 35-44 years;Proportion of population aged 45-54 years;Proportion of population aged 5-9 years;Proportion of population aged 65-74 years;Proportion of population aged 75 years and over;Proportion of total population aged 55-64;Unemployment rate, female;Unemployment rate, male;Women per 100 men;Young-age dependency ratio (population aged 0-19 to population 20-64 years)
Wuppertal;Wuppertaler Brauhaus;4cc4116c806246884232342f;7.0;37;54.3;0.37331372493565995;21.434429706722472;16.56721061115982;15.444441302073022;9.100936112446618;79.29522893746994;71.39624989394497;127.11332334059222;5.913628779094431;97.31044429989535;81.2;353590.0;17.9;4.9;4.6;5.1;6.2;13.3;11.7;15.3;4.6;9.6;11.2;13.4;3.6;5.8;104.4;32.0
Wuppertal;Haus Zillertal;4b6ee171f964a520c8ce2ce3;;1;54.3;0.37331372493565995;21.434429706722472;16.56721061115982;15.444441302073022;9.100936112446618;79.29522893746994;71.39624989394497;127.11332334059222;5.913628779094431;97.31044429989535;81.2;353590.0;17.9;4.9;4.6;5.1;6.2;13.3;11.7;15.3;4.6;9.6;11.2;13.4;3.6;5.8;104.4;32.0
Stuttgart;Wirtshaus & Hotel Garbe;4c1a61a9b9f876b0ed907846;8.8;83;59.1;1.2864622761531934;45.267983999822995;23.99868509015509;45.13838951991567;46.30632025956826;107.30106852229105;169.34837682913917;186.76935185375422;7.606563802365257;113.53266650124932;75.4;632743.0;14.4;4.8;4.1;4.3;6.7;18.5;14.4;14.2;4.2;8.1;9.8;11.0;2.9;3.8;100.2;26.7
Stuttgart;Wichtel;4b54a421f964a5204bc427e3;8.1;91;59.1;1.2864622761531934;45.267983999822995;23.99868509015509;45.13838951991567;46.30632025956826;107.30106852229105;169.34837682913917;186.76935185375422;7.606563802365257;113.53266650124932;75.4;632743.0;14.4;4.8;4.1;4.3;6.7;18.5;14.4;14.2;4.2;8.1;9.8;11.0;2.9;3.8;100.2;26.7
Stuttgart;Tschechen & Söhne;4be9a03a1838952148be0acf;8.0;30;59.1;1.2864622761531934;45.267983999822995;23.99868509015509;45.13838951991567;46.30632025956826;107.30106852229105;169.34837682913917;186.76935185375422;7.606563802365257;113.53266650124932;75.4;632743.0;14.4;4.8;4.1;4.3;6.7;18.5;14.4;14.2;4.2;8.1;9.8;11.0;2.9;3.8;100.2;26.7
Stuttgart;Restaurant Kleingartenanlage Raichberg;4f099172e4b0e8ed38b0e672;;0;59.1;1.2864622761531934;45.267983999822995;23.99868509015509;45.13838951991567;46.30632025956826;107.30106852229105;169.34837682913917;186.76935185375422;7.606563802365257;113.53266650124932;75.4;632743.0;14.4;4.8;4.1;4.3;6.7;18.5;14.4;14.2;4.2;8.1;9.8;11.0;2.9;3.8;100.2;26.7
Stuttgart;Neckarblick;4db568f3fa8c350240f8a972;7.9;6;59.1;1.2864622761531934;45.267983999822995;23.99868509015509;45.13838951991567;46.30632025956826;107.30106852229105;169.34837682913917;186.76935185375422;7.606563802365257;113.53266650124932;75.4;632743.0;14.4;4.8;4.1;4.3;6.7;18.5;14.4;14.2;4.2;8.1;9.8;11.0;2.9;3.8;100.2;26.7
Stuttgart;Die Schankstelle;4e989f9c4690ec5f622667d9;7.9;138;59.1;1.2864622761531934;45.267983999822995;23.99868509015509;45.13838951991567;46.30632025956826;107.30106852229105;169.34837682913917;186.76935185375422;7.606563802365257;113.53266650124932;75.4;632743.0;14.4;4.8;4.1;4.3;6.7;18.5;14.4;14.2;4.2;8.1;9.8;11.0;2.9;3.8;100.2;26.7
Stuttgart;Des Gardawirtschäftle em Klengabach;4dfb2c9318a8fc7fb43ee9aa;7.1;6;59.1;1.2864622761531934;45.267983999822995;23.99868509015509;45.13838951991567;46.30632025956826;107.30106852229105;169.34837682913917;186.76935185375422;7.606563802365257;113.53266650124932;75.4;632743.0;14.4;4.8;4.1;4.3;6.7;18.5;14.4;14.2;4.2;8.1;9.8;11.0;2.9;3.8;100.2;26.7
Stuttgart;Biergarten am Killesberg;4e1b0ae6b61c33f26babf9b4;6.9;10;59.1;1.2864622761531934;45.267983999822995;23.99868509015509;45.13838951991567;46.30632025956826;107.30106852229105;169.34837682913917;186.76935185375422;7.606563802365257;113.53266650124932;75.4;632743.0;14.4;4.8;4.1;4.3;6.7;18.5;14.4;14.2;4.2;8.1;9.8;11.0;2.9;3.8;100.2;26.7
